Date,Beta60M,AccrualRatioCF,AnnVol12M,AnnVol1M,AstAdjChg1YFCF,AstAdjChg1YOCF,BP,CapAcqRatio,CashCycle,CFROIC,Chg1YAstTo,Chg1YEPS,DivP,EBITDAEV,EP,EPSNumRevFY1C,EstDiffC,FCFP,HL1M,LogMktCap,LogTTMSales,LTDE,LTGC,NetProfitMargin,NIStab,PM12M1M,PM1M,PM5D,PM9M,ROE,SEV,ShareChg,SUEC,SusGrwRate,WCAccruals,x90DCV,MOM,Beta
19890630,-0.044099205,0.011000022,-0.023097618,-0.023754878,0.009550296,-0.041874743,0.005054702,-0.016895773,0.017196231,-0.023949564,0.005769612,-0.030421332,0.022264121,-0.017151642,-0.012133177,,,-0.016063111,0.017651995,-0.004666258,-0.004135714,-0.018907467,,-0.019977317,0.003027127,0.013209609,0.032949547,0.018965934,-0.007280592,-0.032242472,-0.011556285,0.004770191,,-0.03648216,0.003327447,-0.024532458,0.017264862,-0.047114161
19890731,-0.004042376,0.001784791,-0.01599383,0.001201667,0.029871698,0.013501099,-0.050519828,-0.00152039,0.007457477,0.006983732,-0.007488637,0.031572983,-0.016668632,-0.008997572,0.010627181,,,0.028869735,0.030058043,-0.037879838,-0.020767489,0.002055235,,0.026863052,0.074984199,0.06600655,0.017318696,0.036448594,0.039131581,0.030609675,-0.018673375,0.003109546,,0.038523075,0.021547054,0.009758344,0.063617344,0.011284804
19890831,0.018715802,-0.000115481,0.006264498,-0.00664589,0.004802641,0.013792686,0.021723384,0.008578605,0.009694193,0.018504788,0.008954692,0.045176298,-0.005343364,0.043553022,0.056224447,,,-0.005531376,0.023734055,0.000978069,-0.01523057,0.008270259,,0.017947175,-0.200257222,-0.007606719,0.012624102,0.03490969,-0.009241634,0.008870568,0.03551648,0.013234464,,0.029478292,0.009160498,-0.042035965,-0.010540309,0.025567462
19890930,-0.026242912,-0.016258168,-0.022322556,-0.025531572,0.00523233,-0.028016615,-0.00967816,0.003374288,0.014099574,0.019750162,-0.010098624,-0.003177734,0.00402923,-0.012089955,-0.0109967,,,0.015360076,0.012735309,-0.03150281,-0.00248358,0.003870977,,0.031292641,-0.00966548,0.049478758,0.017797308,0.014887842,0.032345651,0.027783196,-0.040117795,0.00459505,,0.020920101,0.00475824,0.001870585,0.044678527,-0.028184688
19891031,-0.05493363,-0.023201854,-0.08288172,-0.072132961,-0.004791492,-0.005925706,-0.034643101,-0.014937587,-0.007723545,0.045043762,-0.027849731,-0.006741593,0.023878226,-0.025435988,-0.001340042,,,0.02953021,-0.04671227,-0.059475113,-0.007062417,0.037609326,,0.057547634,0.032898023,0.015163969,-0.068411021,-0.038850069,0.031931285,0.034664428,-0.049627456,0.026315894,,0.014476419,0.004701908,-0.043831333,0.006446011,-0.061973677
19891130,-0.015698653,0.015846592,-0.016997734,-0.018468475,0.003558995,-0.001948147,-0.02127278,0.000534386,0.001252577,0.013429975,0.038573591,-0.006532512,0.009285861,-0.0223564,-0.022400259,,,0.021090033,-0.020273895,-0.021574689,0.005250524,0.008924523,,-0.00048946,0.051204819,0.028586634,-0.009217564,-0.004008663,0.02976149,-0.020190123,-0.016002467,0.014654305,,-0.020367474,0.018095618,-0.007915724,0.019982585,-0.005578452
19891231,-0.035050092,0.01723254,-0.027247132,-0.019095273,0.00825049,-0.034899223,-0.012382877,0.002901712,0.012442198,0.00721448,0.015528986,-0.008147698,0.00309172,0.001842884,-0.001710793,,,0.00359548,-0.031689145,-0.013441358,0.001297629,0.006777403,,0.021994028,0.046598513,0.007283269,-0.03057475,-0.011708168,0.00845779,-0.001094133,-0.007419067,0.0228487,,-0.010602888,0.033811994,-0.049584405,-0.014566926,-0.03052071
19900131,-0.008935138,0.00143544,-0.027806665,-0.025385826,-0.002961015,0.022407905,0.008116555,0.003356413,-0.01746988,-0.002942324,-0.008511546,0.007625382,-0.012744241,-0.003601338,-0.003881623,,,0.000804421,-0.00565381,-0.015076246,0.011037145,0.0368894,,0.01999364,0.022026451,0.003577509,-0.035801208,0.023076448,-0.000696219,-0.005809257,0.012159937,0.019799917,,-0.003791661,-0.010938104,-0.021410533,0.010000521,-0.004753903
19900228,0.017162936,0.015422587,0.023436436,0.003979566,0.012377946,0.043365018,-0.003216408,-0.001051994,0.005074181,-0.004079232,0.028503006,0.00515641,0.00330016,0.001655585,-0.00353795,,,0.005654086,0.012693785,-0.010338984,-0.017248582,-0.002123959,,-0.007242857,0.073542468,0.004583334,0.014028128,0.040283647,0.009935176,0.007684599,-0.004137252,-0.016822173,,0.02212039,0.028721744,0.014360728,-0.000691862,0.00672857
19900331,0.052399918,0.006487118,0.036824942,0.0248591,0.003701186,-0.00122228,-0.004398725,0.012254471,-0.044393671,0.004662052,-0.018895979,0.020623906,-0.044468086,0.003726896,-0.000723777,,,-0.011297131,0.014862288,0.025881553,0.008394564,0.016051807,,-0.029845105,-0.182918662,-0.005857947,0.009125988,0.007316886,-0.025591808,0.011385282,0.042990558,-0.005366922,,0.011331998,-0.00275974,-0.000542248,-0.01149533,0.050705473
19900430,-0.011071185,0.016857942,-0.02097524,-0.019477722,0.004594965,0.016598603,-0.039302337,-0.013122041,0.000869481,0.031754362,0.021538033,-0.007587664,0.00514889,-0.009263043,-0.01192821,,,0.00850548,-0.010442089,-0.022648425,-0.020274294,0.021167494,,-0.006554128,-0.003362829,0.019489571,-0.005702309,0.007170041,0.014371202,0.022793313,-0.001129717,0.017514282,,0.007099993,0.00821791,-0.02468332,0.01113683,-0.023665645
19900531,0.026530905,-0.02926947,0.015424623,0.008231042,0.0318341,0.025007404,-0.026278795,0.011069674,0.013807087,0.019120724,0.018589434,0.038731027,-0.036509097,-0.016259566,0.001632877,,,0.015048903,-0.005696926,-0.019942673,0.019416582,0.025781073,,0.033133705,-0.233545066,0.051343092,0.000957049,-0.006979415,0.039908076,0.02360164,-0.019312659,0.007774105,,0.02819357,-0.007487969,0.005559971,0.027386489,0.026945473
19900630,0.000315301,-0.00223765,-0.010243173,-0.022079689,0.009702784,0.013575482,-0.03339358,0.012006624,-0.008130373,0.011051148,0.015531411,0.007042415,-0.003148736,-0.028927321,-0.015195041,,,0.013853859,-0.009133813,-0.008581399,0.012400919,0.012560197,,0.015522379,0.078612449,0.023736926,-0.021288071,0.016718978,0.027124389,0.034905786,-0.010113724,0.002347822,,0.016492252,-0.026850035,-0.013434979,0.002126883,-0.005262817
19900731,-0.077082161,-0.004887231,-0.08332778,-0.056058826,0.023321896,0.013062259,-0.027793826,0.02513956,-0.008445009,0.051518112,0.029736017,0.00991382,0.046884141,0.013737661,0.021677606,,,0.050921697,-0.017850952,-0.041396729,-0.02681763,0.003828503,,0.037633355,0.389921253,0.060315092,-0.026333333,-0.004928173,0.053123944,0.02405812,-0.027549614,0.045474492,,0.003100844,0.010796796,-0.064175963,0.050437149,-0.07358128
19900831,-0.067749676,-0.001606593,-0.061034006,-0.037582182,0.026776747,0.003932451,-0.015281637,0.000265197,0.030005931,0.020846977,-0.000436576,-0.010600644,0.033503777,-0.017809576,-0.0098158,,,-0.007135859,-0.045770951,-0.060929784,-0.020833479,0.002393881,,0.018689935,0.101931459,0.02875339,-0.045140767,-0.015259254,0.039946624,0.01262555,-0.038378836,0.008285899,,-0.008199701,0.022427868,-0.044452929,0.024647723,-0.050782602
19900930,-0.107645127,-0.000125825,-0.07949529,-0.08884452,0.029763764,-0.001519139,-0.037729164,0.01496984,0.011611606,0.020733446,0.018131079,0.018278093,0.026443843,-0.002971041,-0.01922567,,,0.018973754,-0.00233926,-0.041925066,-0.009114809,0.029457901,,0.04611817,0.137487501,0.05763336,-0.090096257,0.035258179,0.078868675,0.023053363,-0.025811818,0.038104561,,0.023350204,0.014539766,-0.113626314,0.028603819,-0.098700755
19901031,-0.0593687,-0.019590728,-0.073980507,-0.114301763,0.011962364,-0.011992907,-0.076650316,0.010693705,0.001375864,0.017133522,-0.051190976,0.015501453,-0.012353601,0.005796955,0.009275524,,,-0.002905999,-0.033427609,-0.083395055,-0.016701233,0.007036815,,0.085034548,0.000592544,0.068793729,-0.063664229,-0.039060176,0.060581647,0.049619352,-0.046971989,0.004660557,,0.049297358,0.000882673,-0.102527379,0.024472181,-0.057344202
19901130,0.096441143,-0.056917098,0.054238189,0.07302509,-0.00072403,0.042310166,0.060663732,0.037585452,-0.024826737,0.018984209,-0.026397658,0.021890902,0.027141662,0.024515969,0.074357611,,,0.038644405,0.06064483,0.036893797,0.022359769,0.031452894,,0.015268892,0.054739653,-0.074885553,0.073834801,0.085551574,-0.071572143,0.011891181,0.040189395,0.018069091,,0.022658438,-0.056463481,0.100247456,-0.044489862,0.078643223
19901231,0.046808009,-0.020914333,0.010921,0.013854259,-0.022419336,0.004774299,0.042334136,0.019952257,-0.012183365,0.016067342,-0.047561516,0.005202391,-0.009275591,0.052560344,0.036836916,,,0.038655018,0.012725609,0.021647009,0.017373843,0.019142728,,0.013477662,-0.182609242,-0.022127277,-0.037760399,0.026274859,-0.009759247,-0.003667473,0.026137922,0.023336459,,0.010553027,-0.006998058,0.030146368,-0.009701649,0.047341947
19910131,0.160816997,0.02905536,0.133485931,0.111962988,-0.034634138,-0.032192076,0.070854851,0.02984051,-0.073594338,-0.00237109,-0.042447659,-0.040217427,-0.062636333,0.070311312,0.026024919,,,0.023306501,0.055622942,0.100752587,0.035812668,0.023758574,,-0.063682406,0.044395662,-0.116672447,-0.044093996,0.112781153,-0.115626725,-0.046171518,0.083995716,-0.001765991,,-0.034282575,-0.00886554,0.103814533,-0.153402426,0.168016426
19910228,0.026474417,0.022624269,0.092540775,0.066999663,0.008495672,0.012384103,0.050690901,0.0162854,0.025793048,-0.016416459,0.02218569,0.010942363,0.031805992,-0.025050586,-0.01445838,,,0.005886159,0.015655185,0.040533433,0.005315828,-0.035479277,,-0.026750444,-0.070187166,-0.052041966,0.006083873,0.012888308,-0.059920108,-0.016112957,0.005962479,-0.023850607,,-0.016885882,0.004023948,0.054658939,-0.042547521,0.035605447
19910331,0.023809838,0.004567475,0.023871436,0.019345295,0.020185442,0.027912956,-0.005057746,0.038953363,0.000562452,0.03473563,-0.011931956,-0.003195798,-0.014477218,-0.009164669,-0.001447425,,,0.050669103,0.022194539,0.010250044,0.003812667,0.01957811,,-0.010507988,0.032244226,0.03759178,0.004782422,0.037113853,0.023186979,0.012774871,0.007923979,0.006893649,,0.00615244,0.023606869,0.033046195,0.015287372,0.010007926
19910430,0.006293233,-0.014496005,0.005825089,-0.023721605,-0.004126396,0.021048101,0.022110263,-0.014088682,0.022889024,0.016740947,-0.008653659,0.001488095,0.014050004,0.034564734,0.032028064,,,-0.011353858,0.018599605,-0.017988845,-0.018683505,-0.016176564,,0.007434765,-0.027580645,-0.009845549,0.020008938,0.020759886,-0.005618153,0.008838417,-0.008324906,0.02395243,,0.01222198,0.006874658,-0.001075919,-0.014477043,0.011551194
19910531,0.050187375,0.00138171,0.028470468,0.042181304,-0.021245969,-0.010735723,0.026030638,-0.024427974,-0.025877392,-0.034355417,-0.028189976,-0.022392495,0.011839599,-0.00112968,0.011887564,,,-0.045468092,0.006580775,0.00685363,0.002891698,-0.022709238,,-0.037420698,0.017132541,-0.02568413,0.001897723,0.024284107,-0.014467931,-0.023304996,0.016001728,0.002281065,,-0.018187441,-0.014690443,0.033724548,-0.010153287,0.064626065
